code_muni,year,uf,municipality,population_2010,rural_share_2010,extreme_poverty_pct_2010,vulnerable_poverty_pct_2010,income_pc_2010,agricultural_employment_pct_2010,adult_illiteracy_pct_2010,public_sector_employment_pct_2010,idhm_2010,log_population_2010,population_class,adoption_year,value_transferred,value_family_farming,af_share_observed,pnae_record_observed,af_share,compliant_30,treated_currently
1100031,2018,RO,CABIXI,6313,57.34199271344844,7.27,46.98,457.17,45.49,14.73,7.79,0.65,8.750366278367625,ate_20_mil,2024,72338,26253.71,36.29,TRUE,36.29,1,FALSE
1100031,2019,RO,CABIXI,6313,57.34199271344844,7.27,46.98,457.17,45.49,14.73,7.79,0.65,8.750366278367625,ate_20_mil,2024,71920,23782.18,33.1,TRUE,33.1,1,FALSE
1100031,2020,RO,CABIXI,6313,57.34199271344844,7.27,46.98,457.17,45.49,14.73,7.79,0.65,8.750366278367625,ate_20_mil,2024,22322.47,10515.7,47.10813812270776,TRUE,47.10813812270776,1,FALSE
1100031,2021,RO,CABIXI,6313,57.34199271344844,7.27,46.98,457.17,45.49,14.73,7.79,0.65,8.750366278367625,ate_20_mil,2024,71524.2,6268.41,8.76404070230775,TRUE,8.76404070230775,0,FALSE
1100031,2022,RO,CABIXI,6313,57.34199271344844,7.27,46.98,457.17,45.49,14.73,7.79,0.65,8.750366278367625,ate_20_mil,2024,33550.99,11226.7,33.46160575291519,TRUE,33.46160575291519,1,FALSE
1100049,2014,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,765030,329318.95,43.04654065853627,TRUE,43.04654065853627,1,FALSE
1100049,2015,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,904820,309625.44,34.21956190181473,TRUE,34.21956190181473,1,FALSE
1100049,2016,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,828009.3,314334.22,37.96264365629709,TRUE,37.96264365629709,1,FALSE
1100049,2017,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,844892,615538.08,72.85405471941976,TRUE,72.85405471941976,1,FALSE
1100049,2018,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,838788,447046.01,53.3,TRUE,53.3,1,FALSE
1100049,2019,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,712574,313767.27,44,TRUE,44,1,FALSE
1100049,2020,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,800148.8,700436.99,87.53834161845896,TRUE,87.53834161845896,1,FALSE
1100049,2021,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,800258.8,0,0,TRUE,0,0,FALSE
1100049,2022,RO,CACOAL,78574,21.194033649807825,5.97,29.82,738.06,19.69,8.94,7.7,0.718,11.271796134890542,50_a_100_mil,,711402,356487.31,50.110529630223134,TRUE,50.110529630223134,1,FALSE
1100056,2014,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,121362,47456.53,39.103286036815476,TRUE,39.103286036815476,1,FALSE
1100056,2015,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,146470,56288.72,38.43020413736601,TRUE,38.43020413736601,1,FALSE
1100056,2016,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,155485.67,55050.02,35.40520486550304,TRUE,35.40520486550304,1,FALSE
1100056,2017,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,171274,66821.69,39.014497238343246,TRUE,39.014497238343246,1,FALSE
1100056,2018,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,159882,115617.78,72.31,TRUE,72.31,1,FALSE
1100056,2019,RO,CEREJEIRAS,17029,15.32679546655705,4.72,34.85,577.18,26.67,11.17,9.77,0.692,9.742673052026605,ate_20_mil,,161526,93842.3,58.099999999999994,TRUE,58.099999999999994,1,FALSE
