specification,outcome,adjusted,estimate,std.error,conf.low,conf.high,p.value,n_rows,n_municipalities
main,post_average,TRUE,3.0909515362018407,1.4215216303887568,0.29737300246698783,5.884530069936694,0.030191103135919682,476,455
complete_case,post_average,TRUE,1.2001992608954157,1.444062892106128,-1.6386589410746628,4.039057462865494,0.4063954137962523,430,403
caliper_010,post_average,TRUE,2.1512756864113576,1.4955455918116511,-0.7881750689521354,5.090726441774851,0.15102892811686128,452,433
caliper_030,post_average,TRUE,0.42653718790869566,1.4879322136977824,-2.4975862047762956,3.3506605805936864,0.7745006557547142,480,453
exact_state_only,post_average,TRUE,1.8553061078972082,1.4161977688428082,-0.9272494981885195,4.637861713982936,0.1907876077167719,514,492
three_controls,post_average,TRUE,1.025451472961467,1.2678907596654123,-1.463585496355565,3.514488442278499,0.41889510554750575,891,751
entropy_balancing,post_average,TRUE,0.0753687184212974,1.0951581111567061,-2.071576362713964,2.2223137995565585,0.9451354569504018,20713,5476
cem,post_average,TRUE,0.15206350481850334,1.2860618530501347,-2.3711928732207275,2.6753198828577345,0.9058981560591606,1412,1166
