cohort,treated_available,controls_available,treated_matched,controls_matched,max_abs_smd_before,max_abs_smd_after
2016,122,5205,105,105,1.1538727153345645,0.13036160186437062
2017,64,5122,56,56,0.8196608337670918,0.13918283146488464
2018,65,5086,62,62,0.6561885568226503,0.1480614993070351
2019,20,5029,15,15,1.1480308856114436,0.26617496713848643
