group,rows,unique_municipalities,pre_mean,post_mean,post_compliance_pct
Controles pareados,238,217,30.843581629626573,34.400602429611396,56.72268907563025
Aderentes,238,238,31.259720559891726,37.71521112071894,60.924369747899156
