year,municipalities,records_observed,records_absent_coded_zero,observed_share_pct,mean_af_share_primary,mean_af_share_observed
2014,5565,5496,69,98.7601078167116,25.49653282657134,25.81663121904467
2015,5565,5543,22,99.60467205750224,27.841886544875674,27.952390153749434
2016,5565,5328,237,95.74123989218329,26.562294726578514,27.743838242006277
2017,5565,5532,33,99.40700808625337,29.282836582128542,29.45751727757508
2018,5565,4908,657,88.19407008086253,38.19206469002695,43.304572127139366
2019,5565,5496,69,98.7601078167116,41.29496855345912,41.81340975254731
2020,5565,5478,87,98.4366576819407,18.002574201556577,18.288485840025988
2021,5565,5513,52,99.06558849955076,20.644904980873843,20.839632907412103
2022,5565,5352,213,96.17250673854447,45.632845216473015,47.44895060345148
