relative_year,estimate,std.error,conf.low,conf.high,p.value,n_rows
-2,0.53898311847382,1.8565150634816299,-3.1094458030610057,4.187412040008645,0.7717041381381842,476
-1,0.29329474205648737,2.0826493825134036,-3.799534015459131,4.386123499572106,0.8880685138493551,476
0,-0.5259449726195878,2.13099001961242,-4.71377289386228,3.6618829486231044,0.8051685291010188,476
1,3.490468894001219,2.182642599905071,-0.7988668315779459,7.779804619580384,0.11047316612078786,476
2,2.4791169161808178,2.164036451253676,-1.7736539507589457,6.731887783120581,0.25256482104720485,476
3,3.974240263140567,2.103929422990494,-0.16040809317887028,8.108888619460004,0.05953416368724542,476
