code_muni,uf,municipality,adoption_year,resolution
5108303,MT,União do Sul,2025,Nº 8 - 30/04/2025
5108501,MT,Vera,2026,Nº 25 - 26/06/2026
5108956,MT,Nova Monte Verde,2025,Nº 8 - 30/04/2025
1500107,PA,Abaetetuba,2023,Nº 1 - 30/06/2023
1500206,PA,Acará,2023,Nº 4 - 21/12/2023
1500305,PA,Afuá,2025,Nº 6 - 02/04/2025
1500347,PA,Água Azul do Norte,2026,Nº 18 - 13/01/2026
1500404,PA,Alenquer,2024,Nº 4 - 07/05/2024
1500503,PA,Almeirim,2024,Nº 2 - 08/03/2024
1500602,PA,Altamira,2024,Nº 12 - 19/11/2024
1500701,PA,Anajás,2024,Nº 03 - 05/04/2024
1500800,PA,Ananindeua,2024,Nº 2 - 08/03/2024
1500859,PA,Anapu,2026,Nº 25 - 26/06/2026
1500909,PA,Augusto Corrêa,2014,Nº 4 - 20/03/2014
1500958,PA,Aurora do Pará,2024,Nº 03 - 05/04/2024
1501105,PA,Bagre,2025,Nº 3 - 28/02/2025
1501204,PA,Baião,2024,Nº 2 - 08/03/2024
1501303,PA,Barcarena,2023,Nº 4 - 21/12/2023
1501402,PA,Belém,2024,Nº 2 - 08/03/2024
1501451,PA,Belterra,2023,Nº 4 - 21/12/2023
1501501,PA,Benevides,2023,Nº 4 - 21/12/2023
1501576,PA,Bom Jesus do Tocantins,2024,Nº 9 - 20/08/2024
1501600,PA,Bonito,2026,Nº 22 - 29/04/2026
1501709,PA,Bragança,2014,Nº 4 - 20/03/2014
1501725,PA,Brasil Novo,2023,Nº 4 - 21/12/2023
1501758,PA,Brejo Grande do Araguaia,2024,Nº 12 - 19/11/2024
1501782,PA,Breu Branco,2023,Nº 4 - 21/12/2023
1501808,PA,Breves,2023,Nº 4 - 21/12/2023
1501907,PA,Bujaru,2018,Nº 9 - 18/12/2018
1501956,PA,Cachoeira do Piriá,2023,Nº 4 - 21/12/2023
1502004,PA,Cachoeira do Arari,2024,Nº 9 - 20/08/2024
1502103,PA,Cametá,2024,Nº 9 - 20/08/2024
1502152,PA,Canaã dos Carajás,2026,N° 28 - 26/08/2026
1502202,PA,Capanema,2025,Nº 3 - 28/02/2025
1502301,PA,Capitão Poço,2024,Nº 2 - 08/03/2024
1502400,PA,Castanhal,2024,Nº 9 - 20/08/2024
1502509,PA,Chaves,2023,Nº 4 - 21/12/2023
1502608,PA,Colares,2024,Nº 12 - 19/11/2024
1502756,PA,Concórdia do Pará,2022,Nº 6 - 04/10/2022
1502772,PA,Curionópolis,2025,Nº 12 - 03/09/2025
1502806,PA,Curralinho,2024,Nº 03 - 05/04/2024
1502905,PA,Curuçá,2025,Nº 9 - 30/06/2025
1502939,PA,Dom Eliseu,2024,Nº 12 - 19/11/2024
1502954,PA,Eldorado do Carajás,2023,Nº 1 - 30/06/2023
1503002,PA,Faro,2024,Nº 2 - 08/03/2024
1503044,PA,Floresta do Araguaia,2023,Nº 1 - 30/06/2023
1503077,PA,Garrafão do Norte,2024,Nº 2 - 08/03/2024
1503093,PA,Goianésia do Pará,2025,Nº 12 - 03/09/2025
1503101,PA,Gurupá,2024,Nº 2 - 08/03/2024
1503200,PA,Igarapé-Açu,2024,Nº 9 - 20/08/2024
1503309,PA,Igarapé-Miri,2024,Nº 03 - 05/04/2024
1503408,PA,Inhangapi,2024,Nº 2 - 08/03/2024
1503457,PA,Ipixuna do Pará,2024,Nº 12 - 19/11/2024
1503507,PA,Irituia,2023,Nº 1 - 30/06/2023
1503606,PA,Itaituba,2023,Nº 4 - 21/12/2023
1503705,PA,Itupiranga,2024,Nº 03 - 05/04/2024
1503754,PA,Jacareacanga,2025,Nº 9 - 30/06/2025
1503804,PA,Jacundá,2025,Nº 2 - 24/02/2025
1503903,PA,Juruti,2025,Nº 14 - 16/10/2025
1504000,PA,Limoeiro do Ajuru,2023,Nº 4 - 21/12/2023
1504059,PA,Mãe do Rio,2024,Nº 2 - 08/03/2024
1504109,PA,Magalhães Barata,2024,Nº 12 - 19/11/2024
1504208,PA,Marabá,2024,Nº 2 - 08/03/2024
1504307,PA,Maracanã,2024,Nº 2 - 08/03/2024
1504406,PA,Marapanim,2024,Nº 2 - 08/03/2024
1504422,PA,Marituba,2025,Nº 9 - 30/06/2025
1504455,PA,Medicilândia,2024,Nº 03 - 05/04/2024
1504505,PA,Melgaço,2024,Nº 2 - 08/03/2024
1504604,PA,Mocajuba,2026,N° 28 - 26/08/2026
1504752,PA,Mojuí dos Campos,2024,Nº 2 - 08/03/2024
1504802,PA,Monte Alegre,2024,Nº 12 - 19/11/2024
1504901,PA,Muaná,2024,Nº 4 - 07/05/2024
1504950,PA,Nova Esperança do Piriá,2022,Nº 6 - 04/10/2022
1504976,PA,Nova Ipixuna,2023,Nº 4 - 21/12/2023
1505007,PA,Nova Timboteua,2023,Nº 4 - 21/12/2023
1505064,PA,Novo Repartimento,2026,N° 28 - 26/08/2026
1505106,PA,Óbidos,2024,Nº 4 - 07/05/2024
1505205,PA,Oeiras do Pará,2024,Nº 2 - 08/03/2024
1505304,PA,Oriximiná,2024,Nº 2 - 08/03/2024
1505403,PA,Ourém,2026,Nº 18 - 13/01/2026
1505437,PA,Ourilândia do Norte,2025,Nº 9 - 30/06/2025
1505486,PA,Pacajá,2024,Nº 2 - 08/03/2024
1505494,PA,Palestina do Pará,2024,Nº 4 - 07/05/2024
1505502,PA,Paragominas,2014,Nº 4 - 20/03/2014
1505536,PA,Parauapebas,2024,Nº 4 - 07/05/2024
1505551,PA,Pau D'Arco,2025,Nº 12 - 03/09/2025
1505601,PA,Peixe-Boi,2024,Nº 12 - 19/11/2024
1505635,PA,Piçarra,2024,Nº 2 - 08/03/2024
1505650,PA,Placas,2024,Nº 2 - 08/03/2024
1505700,PA,Ponta de Pedras,2023,Nº 4 - 21/12/2023
1505809,PA,Portel,2023,Nº 4 - 21/12/2023
1505908,PA,Porto de Moz,2024,Nº 03 - 05/04/2024
1506005,PA,Prainha,2024,Nº 9 - 20/08/2024
1506104,PA,Primavera,2025,Nº 5 - 25/03/2025
1506112,PA,Quatipuru,2025,Nº 4 - 20/03/2025
1506138,PA,Redenção,2026,N° 28 - 26/08/2026
1506187,PA,Rondon do Pará,2023,Nº 1 - 30/06/2023
1506195,PA,Rurópolis,2024,Nº 03 - 05/04/2024
1506203,PA,Salinópolis,2024,Nº 12 - 19/11/2024
1506302,PA,Salvaterra,2024,Nº 03 - 05/04/2024
1506351,PA,Santa Bárbara do Pará,2024,Nº 4 - 07/05/2024
1506401,PA,Santa Cruz do Arari,2024,Nº 4 - 07/05/2024
1506500,PA,Santa Izabel do Pará,2024,Nº 12 - 19/11/2024
1506559,PA,Santa Luzia do Pará,2024,Nº 9 - 20/08/2024
1506583,PA,Santa Maria das Barreiras,2026,Nº 26 - 26/07/2026
1506609,PA,Santa Maria do Pará,2024,Nº 13 - 13/12/2024
1506708,PA,Santana do Araguaia,2026,Nº 26 - 26/07/2026
1506807,PA,Santarém,2024,Nº 2 - 08/03/2024
1506906,PA,Santarém Novo,2022,Nº 7 - 29/11/2022
1507003,PA,Santo Antônio do Tauá,2026,Nº 18 - 13/01/2026
1507102,PA,São Caetano de Odivelas,2024,Nº 2 - 08/03/2024
1507151,PA,São Domingos do Araguaia,2022,Nº 7 - 29/11/2022
1507201,PA,São Domingos do Capim,2023,Nº 4 - 21/12/2023
1507300,PA,São Félix do Xingu,2024,Nº 2 - 08/03/2024
1507409,PA,São Francisco do Pará,2024,Nº 2 - 08/03/2024
1507458,PA,São Geraldo do Araguaia,2024,Nº 2 - 08/03/2024
1507466,PA,São João da Ponta,2022,Nº 7 - 29/11/2022
1507474,PA,São João de Pirabas,2024,Nº 03 - 05/04/2024
1507508,PA,São João do Araguaia,2023,Nº 4 - 21/12/2023
1507607,PA,São Miguel do Guamá,2023,Nº 1 - 30/06/2023
1507706,PA,São Sebastião da Boa Vista,2023,Nº 4 - 21/12/2023
1507805,PA,Senador José Porfírio,2026,Nº 18 - 13/01/2026
1507961,PA,Terra Alta,2025,Nº 9 - 30/06/2025
1507979,PA,Terra Santa,2026,Nº 26 - 26/07/2026
1508001,PA,Tomé-Açu,2024,Nº 4 - 07/05/2024
1508035,PA,Tracuateua,2023,Nº 4 - 21/12/2023
1508050,PA,Trairão,2024,Nº 2 - 08/03/2024
1508084,PA,Tucumã,2022,Nº 6 - 04/10/2022
1508100,PA,Tucuruí,2023,Nº 4 - 21/12/2023
1508126,PA,Ulianópolis,2020,Nº 2 - 08/07/2020
1508159,PA,Uruará,2025,Nº 9 - 30/06/2025
1508209,PA,Vigia,2024,Nº 4 - 07/05/2024
1508308,PA,Viseu,2026,Nº 21 - 30/03/2026
1508357,PA,Vitória do Xingu,2024,Nº 2 - 08/03/2024
1508407,PA,Xinguara,2023,Nº 4 - 21/12/2023
2500106,PB,Água Branca,2026,Nº 23 - 26/05/2026
2500205,PB,Aguiar,2024,Nº 10 - 30/09/2024
2500304,PB,Alagoa Grande,2025,Nº 9 - 30/06/2025
2500403,PB,Alagoa Nova,2026,Nº 18 - 13/01/2026
2500536,PB,Alcantil,2024,Nº 13 - 13/12/2024
2500577,PB,Algodão de Jandaíra,2025,Nº 7 - 28/04/2025
2500700,PB,São João do Rio do Peixe,2019,Nº 01 - 18/03/2019
2500734,PB,Amparo,2021,Nº 2 - 25/11/2021
2500775,PB,Aparecida,2024,Nº 4 - 07/05/2024
2500908,PB,Arara,2024,Nº 9 - 20/08/2024
2501104,PB,Areia,2019,Nº 01 - 18/03/2019
2501153,PB,Areia de Baraúnas,2024,Nº 9 - 20/08/2024
2501203,PB,Areial,2024,Nº 03 - 05/04/2024
2501302,PB,Aroeiras,2024,Nº 7 - 21/06/2024
2501351,PB,Assunção,2020,Nº 2 - 08/07/2020
2501401,PB,Baía da Traição,2025,Nº 12 - 03/09/2025
2501500,PB,Bananeiras,2024,Nº 12 - 19/11/2024
2501575,PB,Barra de Santana,2026,Nº 23 - 26/05/2026
2501609,PB,Barra de Santa Rosa,2024,Nº 7 - 21/06/2024
2501708,PB,Barra de São Miguel,2026,Nº 26 - 26/07/2026
2501807,PB,Bayeux,2021,Nº 2 - 25/11/2021
2502052,PB,Bernardino Batista,2024,Nº 4 - 07/05/2024
2502102,PB,Boa Ventura,2021,Nº 1 - 12/01/2021
2502151,PB,Boa Vista,2021,Nº 2 - 25/11/2021
2502201,PB,Bom Jesus,2024,Nº 10 - 30/09/2024
2502300,PB,Bom Sucesso,2019,Nº 2 - 11/06/2019
2502409,PB,Bonito de Santa Fé,2024,Nº 12 - 19/11/2024
2502508,PB,Boqueirão,2024,Nº 10 - 30/09/2024
2502607,PB,Igaracy,2025,Nº 7 - 28/04/2025
2502706,PB,Borborema,2024,Nº 10 - 30/09/2024
2502904,PB,Brejo dos Santos,2024,Nº 03 - 05/04/2024
2503001,PB,Caaporã,2024,Nº 4 - 07/05/2024
2503100,PB,Cabaceiras,2024,Nº 10 - 30/09/2024
2503209,PB,Cabedelo,2014,Nº 4 - 20/03/2014
2503407,PB,Cacimba de Areia,2024,Nº 10 - 30/09/2024
2503605,PB,Caiçara,2025,Nº 8 - 30/04/2025
2503704,PB,Cajazeiras,2019,Nº 01 - 18/03/2019
2503753,PB,Cajazeirinhas,2024,Nº 13 - 13/12/2024
2503803,PB,Caldas Brandão,2026,Nº 26 - 26/07/2026
2503902,PB,Camalaú,2021,Nº 2 - 25/11/2021
2504009,PB,Campina Grande,2024,Nº 12 - 19/11/2024
2504033,PB,Capim,2026,Nº 18 - 13/01/2026
2504074,PB,Caraúbas,2021,Nº 2 - 25/11/2021
2504108,PB,Carrapateira,2023,Nº 4 - 21/12/2023
2504157,PB,Casserengue,2024,Nº 9 - 20/08/2024
2504207,PB,Catingueira,2025,Nº 15 - 31/10/2025
2504306,PB,Catolé do Rocha,2024,Nº 10 - 30/09/2024
2504355,PB,Caturité,2024,Nº 9 - 20/08/2024
2504504,PB,Condado,2024,Nº 9 - 20/08/2024
2504603,PB,Conde,2024,Nº 03 - 05/04/2024
2504702,PB,Congo,2024,Nº 4 - 07/05/2024
2504801,PB,Coremas,2024,Nº 9 - 20/08/2024
2504850,PB,Coxixola,2024,Nº 7 - 21/06/2024
2505006,PB,Cubati,2024,Nº 11 - 09/10/2024
2505105,PB,Cuité,2025,Nº 7 - 28/04/2025
2505238,PB,Cuité de Mamanguape,2024,Nº 13 - 13/12/2024
2505279,PB,Curral de Cima,2026,Nº 23 - 26/05/2026
2505303,PB,Curral Velho,2024,Nº 9 - 20/08/2024
2505352,PB,Damião,2024,Nº 03 - 05/04/2024
2505501,PB,Vista Serrana,2024,Nº 7 - 21/06/2024
2505709,PB,Dona Inês,2022,Nº 5 - 09/09/2022
2506103,PB,Fagundes,2026,N° 28 - 26/08/2026
2506202,PB,Frei Martinho,2025,Nº 9 - 30/06/2025
2506251,PB,Gado Bravo,2026,Nº 26 - 26/07/2026
2506400,PB,Gurinhém,2020,Nº 2 - 08/07/2020
2506707,PB,Imaculada,2024,Nº 9 - 20/08/2024
2506806,PB,Ingá,2024,Nº 9 - 20/08/2024
2506905,PB,Itabaiana,2024,Nº 13 - 13/12/2024
2507002,PB,Itaporanga,2025,Nº 15 - 31/10/2025
2507101,PB,Itapororoca,2024,Nº 5 - 09/05/2024
2507200,PB,Itatuba,2024,Nº 4 - 07/05/2024
2507309,PB,Jacaraú,2026,Nº 26 - 26/07/2026
2507408,PB,Jericó,2026,Nº 26 - 26/07/2026
2507507,PB,João Pessoa,2014,Nº 4 - 20/03/2014
2507606,PB,Juarez Távora,2024,Nº 12 - 19/11/2024
2507804,PB,Junco do Seridó,2026,Nº 26 - 26/07/2026
2508000,PB,Juru,2024,Nº 7 - 21/06/2024
2508505,PB,Livramento,2024,Nº 7 - 21/06/2024
2508554,PB,Logradouro,2025,Nº 12 - 03/09/2025
2508604,PB,Lucena,2019,Nº 2 - 11/06/2019
2509057,PB,Marcação,2024,Nº 4 - 07/05/2024
2509107,PB,Mari,2025,Nº 8 - 30/04/2025
2509156,PB,Marizópolis,2024,Nº 12 - 19/11/2024
2509206,PB,Massaranduba,2025,Nº 12 - 03/09/2025
2509305,PB,Mataraca,2024,Nº 9 - 20/08/2024
2509602,PB,Monte Horebe,2026,Nº 18 - 13/01/2026
2509701,PB,Monteiro,2014,Nº 8 - 27/11/2014
2509800,PB,Mulungu,2020,Nº 2 - 08/07/2020
2509909,PB,Natuba,2025,Nº 9 - 30/06/2025
2510006,PB,Nazarezinho,2024,Nº 9 - 20/08/2024
2510303,PB,Nova Palmeira,2025,Nº 9 - 30/06/2025
2510501,PB,Olivedos,2024,Nº 10 - 30/09/2024
2510709,PB,Passagem,2019,Nº 2 - 11/06/2019
2510808,PB,Patos,2014,Nº 8 - 27/11/2014
2511103,PB,Pedra Lavrada,2024,Nº 7 - 21/06/2024
2511202,PB,Pedras de Fogo,2024,Nº 7 - 21/06/2024
2511301,PB,Piancó,2024,Nº 10 - 30/09/2024
2511400,PB,Picuí,2019,Nº 01 - 18/03/2019
2511608,PB,Pilões,2025,Nº 12 - 03/09/2025
2511806,PB,Pirpirituba,2024,Nº 13 - 13/12/2024
2511905,PB,Pitimbu,2021,Nº 1 - 12/01/2021
2512002,PB,Pocinhos,2024,Nº 9 - 20/08/2024
2512036,PB,Poço Dantas,2024,Nº 4 - 07/05/2024
2512077,PB,Poço de José de Moura,2025,Nº 9 - 30/06/2025
2512101,PB,Pombal,2019,Nº 01 - 18/03/2019
2512200,PB,Prata,2021,Nº 2 - 25/11/2021
2512309,PB,Princesa Isabel,2024,Nº 12 - 19/11/2024
2512408,PB,Puxinanã,2024,Nº 12 - 19/11/2024
2512507,PB,Queimadas,2024,Nº 9 - 20/08/2024
2512754,PB,Riachão do Bacamarte,2024,Nº 10 - 30/09/2024
2512762,PB,Riachão do Poço,2026,Nº 26 - 26/07/2026
2512903,PB,Rio Tinto,2024,Nº 10 - 30/09/2024
2513000,PB,Salgadinho,2025,Nº 8 - 30/04/2025
2513307,PB,Santa Helena,2019,Nº 01 - 18/03/2019
2513356,PB,Santa Inês,2024,Nº 7 - 21/06/2024
2513406,PB,Santa Luzia,2026,Nº 18 - 13/01/2026
2513505,PB,Santana de Mangueira,2024,Nº 10 - 30/09/2024
2513604,PB,Santana dos Garrotes,2024,Nº 10 - 30/09/2024
2513703,PB,Santa Rita,2025,Nº 12 - 03/09/2025
2513802,PB,Santa Teresinha,2024,Nº 7 - 21/06/2024
2513851,PB,Santo André,2024,Nº 12 - 19/11/2024
2513901,PB,São Bento,2019,Nº 01 - 18/03/2019
2513927,PB,São Bentinho,2024,Nº 10 - 30/09/2024
2513968,PB,São Domingos,2024,Nº 7 - 21/06/2024
2514008,PB,São João do Cariri,2021,Nº 2 - 25/11/2021
2514107,PB,São João do Tigre,2019,Nº 01 - 18/03/2019
2514206,PB,São José da Lagoa Tapada,2024,Nº 9 - 20/08/2024
2514305,PB,São José de Caiana,2024,Nº 7 - 21/06/2024
2514404,PB,São José de Espinharas,2025,Nº 7 - 28/04/2025
2514503,PB,São José de Piranhas,2025,Nº 12 - 03/09/2025
2514552,PB,São José de Princesa,2024,Nº 10 - 30/09/2024
2514602,PB,São José do Bonfim,2024,Nº 9 - 20/08/2024
2514651,PB,São José do Brejo do Cruz,2020,Nº 2 - 08/07/2020
2514800,PB,São José dos Cordeiros,2020,Nº 2 - 08/07/2020
2514909,PB,São Mamede,2024,Nº 10 - 30/09/2024
2515104,PB,São Sebastião de Lagoa de Roça,2024,Nº 7 - 21/06/2024
2515203,PB,São Sebastião do Umbuzeiro,2025,Nº 12 - 03/09/2025
2515302,PB,Sapé,2024,Nº 12 - 19/11/2024
2515401,PB,São Vicente do Seridó,2025,Nº 9 - 30/06/2025
2515500,PB,Serra Branca,2020,Nº 2 - 08/07/2020
2515906,PB,Serraria,2020,Nº 2 - 08/07/2020
2515971,PB,Sobrado,2025,Nº 9 - 30/06/2025
2516102,PB,Soledade,2025,Nº 9 - 30/06/2025
2516151,PB,Sossêgo,2024,Nº 12 - 19/11/2024
2516201,PB,Sousa,2026,Nº 26 - 26/07/2026
2516300,PB,Sumé,2014,Nº 8 - 27/11/2014
2516508,PB,Taperoá,2024,Nº 03 - 05/04/2024
2516706,PB,Teixeira,2024,Nº 12 - 19/11/2024
2516755,PB,Tenório,2024,Nº 7 - 21/06/2024
2516904,PB,Uiraúna,2019,Nº 01 - 18/03/2019
2517001,PB,Umbuzeiro,2024,Nº 10 - 30/09/2024
2517100,PB,Várzea,2024,Nº 9 - 20/08/2024
2517209,PB,Vieirópolis,2025,Nº 7 - 28/04/2025
2517407,PB,Zabelê,2023,Nº 4 - 21/12/2023
2600054,PE,Abreu e Lima,2024,Nº 9 - 20/08/2024
2600104,PE,Afogados da Ingazeira,2024,Nº 03 - 05/04/2024
2600203,PE,Afrânio,2025,Nº 12 - 03/09/2025
2600302,PE,Agrestina,2024,Nº 13 - 13/12/2024
2600401,PE,Água Preta,2025,Nº 12 - 03/09/2025
2600708,PE,Aliança,2026,Nº 25 - 26/06/2026
2600807,PE,Altinho,2025,Nº 5 - 25/03/2025
2600906,PE,Amaraji,2026,N° 28 - 26/08/2026
2601003,PE,Angelim,2025,Nº 15 - 31/10/2025
2601052,PE,Araçoiaba,2025,Nº 5 - 25/03/2025
2601102,PE,Araripina,2025,Nº 2 - 24/02/2025
2601201,PE,Arcoverde,2026,Nº 22 - 29/04/2026
2601300,PE,Barra de Guabiraba,2024,Nº 13 - 13/12/2024
2601409,PE,Barreiros,2024,Nº 9 - 20/08/2024
2601508,PE,Belém de Maria,2025,Nº 9 - 30/06/2025
2601607,PE,Belém do São Francisco,2025,Nº 3 - 28/02/2025
2601706,PE,Belo Jardim,2024,Nº 9 - 20/08/2024
2601805,PE,Betânia,2024,Nº 8 - 03/07/2024
2601904,PE,Bezerros,2025,Nº 9 - 30/06/2025
2602001,PE,Bodocó,2025,Nº 9 - 30/06/2025
2602100,PE,Bom Conselho,2025,Nº 15 - 31/10/2025
2602209,PE,Bom Jardim,2025,Nº 5 - 25/03/2025
2602308,PE,Bonito,2025,Nº 13 - 17/09/2025
2602407,PE,Brejão,2025,Nº 15 - 31/10/2025
2602506,PE,Brejinho,2024,Nº 10 - 30/09/2024
2602605,PE,Brejo da Madre de Deus,2024,Nº 11 - 09/10/2024
2602704,PE,Buenos Aires,2026,Nº 18 - 13/01/2026
2602803,PE,Buíque,2025,Nº 2 - 24/02/2025
2603009,PE,Cabrobó,2025,Nº 9 - 30/06/2025
2603108,PE,Cachoeirinha,2025,Nº 14 - 16/10/2025
2603207,PE,Caetés,2026,Nº 25 - 26/06/2026
2603306,PE,Calçado,2026,Nº 26 - 26/07/2026
2603405,PE,Calumbi,2024,Nº 13 - 13/12/2024
2603454,PE,Camaragibe,2026,Nº 21 - 30/03/2026
2603504,PE,Camocim de São Félix,2025,Nº 12 - 03/09/2025
2603702,PE,Canhotinho,2025,Nº 2 - 24/02/2025
2603801,PE,Capoeiras,2025,Nº 9 - 30/06/2025
2603900,PE,Carnaíba,2026,Nº 25 - 26/06/2026
2603926,PE,Carnaubeira da Penha,2024,Nº 4 - 07/05/2024
2604007,PE,Carpina,2026,Nº 26 - 26/07/2026
2604106,PE,Caruaru,2024,Nº 10 - 30/09/2024
2604205,PE,Catende,2024,Nº 13 - 13/12/2024
2604403,PE,Chã de Alegria,2025,Nº 9 - 30/06/2025
2604502,PE,Chã Grande,2024,Nº 13 - 13/12/2024
2604601,PE,Condado,2025,Nº 5 - 25/03/2025
2604700,PE,Correntes,2026,Nº 25 - 26/06/2026
2604809,PE,Cortês,2025,Nº 2 - 24/02/2025
2605004,PE,Cupira,2025,Nº 2 - 24/02/2025
2605103,PE,Custódia,2025,Nº 2 - 24/02/2025
2605152,PE,Dormentes,2024,Nº 13 - 13/12/2024
2605202,PE,Escada,2026,Nº 25 - 26/06/2026
2605301,PE,Exu,2024,Nº 13 - 13/12/2024
2605400,PE,Feira Nova,2025,Nº 14 - 16/10/2025
2605509,PE,Ferreiros,2026,Nº 22 - 29/04/2026
2605608,PE,Flores,2025,Nº 7 - 28/04/2025
2605707,PE,Floresta,2025,Nº 15 - 31/10/2025
2605806,PE,Frei Miguelinho,2026,Nº 18 - 13/01/2026
2605905,PE,Gameleira,2025,Nº 2 - 24/02/2025
2606002,PE,Garanhuns,2025,Nº 8 - 30/04/2025
2606101,PE,Glória do Goitá,2025,Nº 14 - 16/10/2025
2606200,PE,Goiana,2025,Nº 12 - 03/09/2025
2606309,PE,Granito,2025,Nº 5 - 25/03/2025
2606408,PE,Gravatá,2025,Nº 2 - 24/02/2025
2606507,PE,Iati,2026,Nº 26 - 26/07/2026
2606606,PE,Ibimirim,2025,Nº 7 - 28/04/2025
2607000,PE,Inajá,2025,Nº 7 - 28/04/2025
2607109,PE,Ingazeira,2025,Nº 12 - 03/09/2025
2607208,PE,Ipojuca,2026,Nº 25 - 26/06/2026
2607307,PE,Ipubi,2025,Nº 9 - 30/06/2025
2607406,PE,Itacuruba,2025,Nº 9 - 30/06/2025
2607505,PE,Itaíba,2025,Nº 7 - 28/04/2025
2607653,PE,Itambé,2025,Nº 9 - 30/06/2025
2607703,PE,Itapetim,2024,Nº 2 - 08/03/2024
2607752,PE,Itapissuma,2026,Nº 25 - 26/06/2026
2607901,PE,Jaboatão dos Guararapes,2013,Nº 1 - 20/11/2013
2608008,PE,Jataúba,2025,Nº 2 - 24/02/2025
2608057,PE,Jatobá,2024,Nº 9 - 20/08/2024
2608107,PE,João Alfredo,2024,Nº 11 - 09/10/2024
2608206,PE,Joaquim Nabuco,2026,Nº 26 - 26/07/2026
2608255,PE,Jucati,2025,Nº 9 - 30/06/2025
2608305,PE,Jupi,2025,Nº 2 - 24/02/2025
2608404,PE,Jurema,2026,N° 28 - 26/08/2026
2608503,PE,Lagoa de Itaenga,2025,Nº 15 - 31/10/2025
2608701,PE,Lagoa dos Gatos,2024,Nº 13 - 13/12/2024
2608750,PE,Lagoa Grande,2024,Nº 03 - 05/04/2024
2608800,PE,Lajedo,2026,Nº 22 - 29/04/2026
2608909,PE,Limoeiro,2026,Nº 22 - 29/04/2026
2609006,PE,Macaparana,2026,N° 28 - 26/08/2026
2609105,PE,Machados,2026,Nº 21 - 30/03/2026
2609303,PE,Mirandiba,2024,Nº 13 - 13/12/2024
2609600,PE,Olinda,2024,Nº 9 - 20/08/2024
2609709,PE,Orobó,2025,Nº 5 - 25/03/2025
2609808,PE,Orocó,2024,Nº 03 - 05/04/2024
2609907,PE,Ouricuri,2025,Nº 12 - 03/09/2025
2610004,PE,Palmares,2025,Nº 2 - 24/02/2025
2610103,PE,Palmeirina,2026,N° 28 - 26/08/2026
2610202,PE,Panelas,2024,Nº 13 - 13/12/2024
2610301,PE,Paranatama,2026,Nº 26 - 26/07/2026
2610400,PE,Parnamirim,2024,Nº 13 - 13/12/2024
2610509,PE,Passira,2024,Nº 9 - 20/08/2024
2610608,PE,Paudalho,2025,Nº 2 - 24/02/2025
2610707,PE,Paulista,2025,Nº 2 - 24/02/2025
2610806,PE,Pedra,2026,Nº 18 - 13/01/2026
2610905,PE,Pesqueira,2025,Nº 5 - 25/03/2025
2611002,PE,Petrolândia,2026,Nº 18 - 13/01/2026
2611101,PE,Petrolina,2024,Nº 4 - 07/05/2024
2611200,PE,Poção,2025,Nº 9 - 30/06/2025
2611309,PE,Pombos,2026,Nº 26 - 26/07/2026
2611408,PE,Primavera,2025,Nº 8 - 30/04/2025
2611507,PE,Quipapá,2024,Nº 03 - 05/04/2024
2611533,PE,Quixaba,2025,Nº 9 - 30/06/2025
2611606,PE,Recife,2014,Nº 8 - 27/11/2014
2611705,PE,Riacho das Almas,2024,Nº 13 - 13/12/2024
2611804,PE,Ribeirão,2025,Nº 2 - 24/02/2025
2611903,PE,Rio Formoso,2026,N° 28 - 26/08/2026
2612000,PE,Sairé,2025,Nº 12 - 03/09/2025
2612109,PE,Salgadinho,2025,Nº 12 - 03/09/2025
2612208,PE,Salgueiro,2026,Nº 25 - 26/06/2026
2612307,PE,Saloá,2025,Nº 9 - 30/06/2025
2612406,PE,Sanharó,2024,Nº 9 - 20/08/2024
2612455,PE,Santa Cruz,2025,Nº 9 - 30/06/2025
2612471,PE,Santa Cruz da Baixa Verde,2024,Nº 8 - 03/07/2024
2612554,PE,Santa Filomena,2025,Nº 14 - 16/10/2025
2612604,PE,Santa Maria da Boa Vista,2024,Nº 9 - 20/08/2024
2612802,PE,Santa Terezinha,2025,Nº 2 - 24/02/2025
2612901,PE,São Benedito do Sul,2025,Nº 5 - 25/03/2025
2613008,PE,São Bento do Una,2026,Nº 21 - 30/03/2026
2613107,PE,São Caitano,2026,Nº 22 - 29/04/2026
2613305,PE,São Joaquim do Monte,2026,Nº 22 - 29/04/2026
2613404,PE,São José da Coroa Grande,2024,Nº 9 - 20/08/2024
2613503,PE,São José do Belmonte,2025,Nº 7 - 28/04/2025
2613602,PE,São José do Egito,2024,Nº 03 - 05/04/2024
2613800,PE,São Vicente Férrer,2025,Nº 9 - 30/06/2025
2613909,PE,Serra Talhada,2024,Nº 9 - 20/08/2024
2614006,PE,Serrita,2024,Nº 9 - 20/08/2024
2614105,PE,Sertânia,2026,Nº 26 - 26/07/2026
2614204,PE,Sirinhaém,2025,Nº 9 - 30/06/2025
2614303,PE,Moreilândia,2025,Nº 9 - 30/06/2025
2614402,PE,Solidão,2025,Nº 12 - 03/09/2025
2614600,PE,Tabira,2025,Nº 14 - 16/10/2025
2614709,PE,Tacaimbó,2025,Nº 13 - 17/09/2025
2615003,PE,Taquaritinga do Norte,2025,Nº 7 - 28/04/2025
2615102,PE,Terezinha,2026,Nº 25 - 26/06/2026
2615201,PE,Terra Nova,2025,Nº 15 - 31/10/2025
