code_muni,uf,municipality,adoption_year,resolution
3108602,MG,Brasília de Minas,2025,Nº 8 - 30/04/2025
3109006,MG,Brumadinho,2024,Nº 6 - 29/05/2024
3109253,MG,Bugre,2021,Nº 2 - 25/11/2021
3109303,MG,Buritis,2026,Nº 23 - 26/05/2026
3109402,MG,Buritizeiro,2025,Nº 7 - 28/04/2025
3109501,MG,Cabo Verde,2026,Nº 26 - 26/07/2026
3110806,MG,Campanário,2026,N° 28 - 26/08/2026
3111002,MG,Campestre,2026,Nº 23 - 26/05/2026
3111150,MG,Campo Azul,2026,N° 27 - 04/08/2026
3111200,MG,Campo Belo,2026,Nº 23 - 26/05/2026
3111309,MG,Campo do Meio,2025,Nº 2 - 24/02/2025
3112307,MG,Capelinha,2024,Nº 2 - 08/03/2024
3112653,MG,Capitão Andrade,2026,Nº 22 - 29/04/2026
3112703,MG,Capitão Enéas,2026,Nº 23 - 26/05/2026
3113008,MG,Caraí,2024,Nº 2 - 08/03/2024
3113305,MG,Carangola,2024,Nº 10 - 30/09/2024
3113404,MG,Caratinga,2017,Nº 2 - 10/02/2017
3113503,MG,Carbonita,2024,Nº 6 - 29/05/2024
3113800,MG,Carmésia,2025,Nº 2 - 24/02/2025
3114501,MG,Carmópolis de Minas,2024,Nº 2 - 08/03/2024
3115102,MG,Cássia,2025,Nº 17 - 31/12/2025
3115458,MG,Catuji,2024,Nº 2 - 08/03/2024
3115474,MG,Catuti,2025,Nº 2 - 24/02/2025
3116001,MG,Chalé,2026,Nº 22 - 29/04/2026
3116100,MG,Chapada do Norte,2024,Nº 12 - 19/11/2024
3116159,MG,Chapada Gaúcha,2025,Nº 7 - 28/04/2025
3116308,MG,Cipotânea,2025,Nº 7 - 28/04/2025
3116803,MG,Coluna,2026,Nº 22 - 29/04/2026
3117009,MG,Comercinho,2024,Nº 10 - 30/09/2024
3117306,MG,Conceição das Alagoas,2026,N° 27 - 04/08/2026
3117405,MG,Conceição de Ipanema,2025,Nº 17 - 31/12/2025
3117504,MG,Conceição do Mato Dentro,2026,N° 28 - 26/08/2026
3118403,MG,Conselheiro Pena,2021,Nº 2 - 25/11/2021
3118601,MG,Contagem,2014,Nº 4 - 20/03/2014
3119401,MG,Coronel Fabriciano,2022,Nº 1 - 24/02/2022
3119500,MG,Coronel Murta,2024,Nº 12 - 19/11/2024
3120003,MG,Córrego Novo,2021,Nº 2 - 25/11/2021
3120151,MG,Crisólita,2025,Nº 2 - 24/02/2025
3120870,MG,Curral de Dentro,2025,Nº 13 - 17/09/2025
